ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688256.SH,20250908,1245.0,1257.99,1183.0,1212.78,1281.46,-68.68000000000006,-5.36,140728.03,17136817.058
688256.SH,20250905,1220.0,1310.15,1172.0,1281.46,1202.0,79.46000000000004,6.61,200038.78,24705957.244
688256.SH,20250904,1375.0,1389.0,1182.0,1202.0,1405.0,-203.0,-14.45,221653.87,28013149.023
688256.SH,20250903,1419.0,1439.0,1371.0,1405.0,1480.0,-75.0,-5.07,141492.06,19901150.24
688256.SH,20250902,1451.0,1540.0,1431.0,1480.0,1448.39,31.6099999999999,2.18,173376.45,25731181.437
688256.SH,20250901,1460.0,1508.6,1358.75,1448.39,1492.49,-44.09999999999991,-2.95,175381.16,25070934.112
688256.SH,20250829,1480.0,1534.97,1420.0,1492.49,1587.91,-95.42000000000007,-6.01,178637.73,26507283.491
688256.SH,20250828,1420.0,1595.88,1391.0,1587.91,1372.1,215.81000000000017,15.73,178270.45,26023907.975
688256.SH,20250827,1378.88,1464.98,1341.02,1372.1,1329.0,43.09999999999991,3.24,178950.9,25003097.032
688256.SH,20250826,1310.0,1348.0,1289.01,1329.0,1384.93,-55.930000000000064,-4.04,118132.28,15643165.298
688256.SH,20250825,1321.0,1391.0,1266.0,1384.93,1243.2,141.73000000000002,11.4,187639.05,24989985.4
688256.SH,20250822,1075.0,1243.2,1075.0,1243.2,1036.0,207.20000000000005,20.0,141160.82,16488719.338
688256.SH,20250821,1020.0,1080.18,1005.57,1036.0,1013.0,23.0,2.27,114027.97,11930000.15
688256.SH,20250820,920.11,1027.0,900.0,1013.0,933.98,79.01999999999998,8.46,127059.5,12383503.093
688256.SH,20250819,939.0,1001.1,927.92,933.98,950.0,-16.019999999999982,-1.69,105469.57,10074664.704
688256.SH,20250818,950.28,987.99,925.46,950.0,923.7,26.299999999999955,2.85,115423.02,11085893.402
688256.SH,20250815,923.0,935.0,904.81,923.7,949.0,-25.299999999999955,-2.67,110398.69,10171678.36
688256.SH,20250814,865.0,985.0,865.0,949.0,860.0,89.0,10.35,150710.68,14035314.03
688256.SH,20250813,830.0,868.0,820.0,860.0,848.88,11.120000000000005,1.31,134683.86,11355310.256
